id,name_JP,name,playable,STR,END,DEX,PER,LER,WIL,MAG,CHA,SPD,elements,weapon,equip,domain,detail_JP,detail
inquisitor,異端審問官,inquisitor,4,7,4,4,7,0,4,0,0,0,"101,3,107,3,105,5,109,4,306,4,133,4,285,3,304,4,150,4,1416,1,1407,1",sword,gunner,"913,1,914,1,918,1",異端審問官は異端や他教を排除することに情熱を燃やす聖職者です。彼らは銃器の扱いに長け、身軽な装備で機敏な立ち回りを得意とします。異端審問官は敵対者に破門を宣告し神の恩恵をはく奪することができます。,"Inquisitors are clergy passionate about rooting out heresy and other faiths. They are skilled in the use of firearms and excel in agile maneuvers with light equipment. Inquisitors can excommunicate adversaries, stripping them of divine grace."
paladin,パラディン,paladin,4,7,8,0,0,0,4,0,6,0,"101,6,111,6,106,6,130,5,132,4,300,3,304,3,122,4,1407,2,1408,1","sword,blunt,polearm",warrior,"910,1,912,1,919,1",パラディンは神に忠誠を誓う狂信的な戦士です。彼らは両手持ちの武器を振りかざし、常に戦闘の矢面に立ち味方を守ります。ジュアのパラディンは、特にその敬虔さと勇猛さで有名です。,"Paladins are zealous warriors who swear loyalty to their deity. They wield two-handed weapons and are always at the forefront of battle, protecting their allies. The paladins of Jure are particularly renowned for their devoutness and bravery."
witch,魔女,witch,5,0,0,0,5,8,4,7,4,0,"103,3,107,4,108,4,304,3,305,4,257,5,226,3,1417,1,1402,1",staff,mage,"910,1,915,1,920,1,921,1",魔女は秘伝の錬金術の知識を操り、怪しげなポーションの調合で生計を立てています。魔法の知識も豊富な魔女は、毒物を投げつけたり、呪いや魔道具を好んで用いたりと、敵に回すと非常に煩わしい相手です。彼女たちは黒猫との気ままな生活を送り、町の人々にポーションを売ったり、ほうきに乗って世界を旅しています。,"Witches manipulate the secrets of alchemy and make a living by concocting mysterious potions. They are also rich in magical knowledge, making them quite troublesome adversaries with their penchant for throwing poisons, casting curses, and using magical artifacts. They lead carefree lives with their black cats, selling potions to the townsfolk and traveling the world on their brooms."
executioner,処刑人,executioner,4,12,8,5,0,0,0,0,0,0,"101,4,102,7,110,6,130,6,132,4,300,3,290,4,108,5,1420,1,1421,1","scythe,axe",warrior,"911,1,924,1,918,1",処刑人は国王の命により代々世襲される処刑の専門家です。彼らは滞りなく死刑を執行するために、武器と人体、そして鉄球の知識に精通しています。彼らは死を抱擁し、死の淵に立つほど自らの力を引き出すことができます。,"The executioners are hereditary experts in execution, appointed by the king through generations. They are well-versed in weapons, the human body, and the knowledge of iron balls to carry out executions smoothly. They embrace death and can harness their full power when standing on the brink of death."
swordsage,陰陽師,sword sage,4,7,6,0,0,0,5,7,0,0,"101,5,106,3,103,5,109,2,132,5,301,3,285,3,304,4,305,4,1418,2",sword,warrior,"910,1,911,1,912,1,916,1,919,1",陰陽師は、霊界と現世の間を行き来し、悪霊を退ける力を持った祈祷師です。彼らは呪術や占術を巧みに操り、魔力を封じ込めた霊符で武器を強化する術を学んでいます。,"Sword Sages are spiritual practitioners who traverses between the spirit world and the mortal realm, wielding the power to repel malevolent spirits. Skilled in the arts of curses and divination, they master the technique of enhancing weapons with talismans infused with spells."
predator,プレデター,predator,8,8,11,8,0,0,0,0,0,10,"300,3,132,3,304,3,133,3,210,3,150,3",,predator,"910,1,911,1,912,1",,
bard,唄い手,bard,8,9,3,7,6,0,0,4,0,0,"103,3,107,2,300,3,132,3,304,3,133,3,241,3",staff,warrior,"910,1,911,1,912,1",,
alchemist,錬金術師,alchemist,8,0,0,0,4,3,8,10,0,0,"103,3,107,2,285,3,304,5,305,3,307,3,302,4,1402,2",staff,mage,"910,1,911,1,912,1,914,1,921,1",,
defender,防衛者,defender,8,9,3,7,6,0,0,4,0,0,"300,3,132,3,304,3,133,3",sword,warrior,"910,1,911,1,912,1",,
none,なし,none,8,2,2,2,2,2,2,2,2,0,"300,3,132,3,304,3,133,3",,warrior,"910,1,911,1,912,1",,
